,Greek-Delta
pnl_quantile_1,-11.25452253166761
pnl_quantile_5,-7.5713084947527935
pnl_quantile_10,-5.782105783632142
pnl_quantile_50,-0.3754935131983075
pnl_quantile_90,6.419536589260679
pnl_quantile_95,8.791694241194637
pnl_quantile_99,11.86772837888624
pnl_95VaR,-7.653708620300677
pnl_95CVaR,-10.36726743333551
pnl_99VaR,-12.574640589067712
pnl_99CVaR,-14.885560377419461
pnl_mean,0.07523163277861704
pnl_std,5.0006350583068375
objective value,-7.42572095468164
