,BSM-MI
pnl_quantile_1,-32.705359165476466
pnl_quantile_5,-22.269778647327538
pnl_quantile_10,-17.539348428069996
pnl_quantile_50,-7.327234568445723
pnl_quantile_90,-1.5486628427051483
pnl_quantile_95,-0.398756170711049
pnl_quantile_99,3.078579865636605
pnl_95VaR,-22.46600278889462
pnl_95CVaR,-29.699995411089482
pnl_99VaR,-34.499819685883466
pnl_99CVaR,-38.38871314898646
pnl_mean,-8.7735802423001
pnl_std,7.134976080385372
objective value,-25.39807450959802
