,BSM-MI
pnl_quantile_1,-19.281253153929917
pnl_quantile_5,-11.826107389042127
pnl_quantile_10,-7.597202901480721
pnl_quantile_50,-2.400980718011241
pnl_quantile_90,2.375965074351874
pnl_quantile_95,3.5264864965222498
pnl_quantile_99,5.775295449796232
pnl_95VaR,-12.003694092668308
pnl_95CVaR,-17.15562666225515
pnl_99VaR,-19.480077590205415
pnl_99CVaR,-25.385890770413205
pnl_mean,-2.770639422852846
pnl_std,4.9232765090342
objective value,-7.384914763551301
