episode_length,episode_return,episodes,steps,steps_per_second
92,-2.179148,1,92,80.95822576520149
92,-7.960494,2,184,124.7122271164343
92,8.130942,3,276,128.21848541245296
92,7.8265085,4,368,124.94445890725882
92,6.6543303,5,460,125.46457721591753
92,2.6221292,6,552,131.4008592155912
92,-1.7175723,7,644,127.84478762329724
92,7.119896,8,736,126.61605252908265
92,6.1929817,9,828,125.45556242640122
92,1.0735085,10,920,111.05274369738588
92,-1.8537362,11,1012,18.217610373892175
92,-2.0967824,12,1104,99.3929589135588
92,10.913105,13,1196,101.37684796361451
92,4.861804,14,1288,103.03381743641557
92,2.7226672,15,1380,100.36391480578283
92,3.2451396,16,1472,99.29298375085816
92,5.911996,17,1564,102.28805729124143
92,6.4750214,18,1656,96.80998095542023
92,9.544919,19,1748,91.14231605182516
92,-3.9606056,20,1840,95.46186927910544
92,0.9402047,21,1932,97.89507855687731
92,2.4386935,22,2024,97.44217132557131
92,4.9596124,23,2116,100.61409133481156
92,2.104215,24,2208,77.91554712881803
92,-2.7838178,25,2300,85.47138844835071
92,-3.193021,26,2392,74.02172027293253
92,11.558395,27,2484,88.68004618360187
92,6.8931365,28,2576,100.69837405969419
92,-0.34609,29,2668,98.34985929665403
92,-0.10167347,30,2760,86.50750178170819
92,3.9784741,31,2852,100.08522116865527
92,3.5159957,32,2944,92.7902751466726
92,11.426037,33,3036,98.00124140943655
92,4.370148,34,3128,96.37885367709849
92,8.490846,35,3220,88.80128927527053
92,5.5133853,36,3312,91.76199180867991
92,11.0699625,37,3404,93.93033678764044
92,-2.3531022,38,3496,91.51965482679438
92,1.7387401,39,3588,101.10236157755708
92,4.882385,40,3680,95.19887244357592
92,-2.400592,41,3772,98.36176749184558
92,8.322534,42,3864,96.88270537261742
92,4.9105015,43,3956,97.72760134583264
92,9.567846,44,4048,89.9429350074623
92,18.214077,45,4140,97.24118424408226
92,0.97798055,46,4232,93.61313605827034
92,-10.320659,47,4324,103.71161483853818
92,13.678899,48,4416,96.4574171099468
92,4.527407,49,4508,97.44406604689829
92,5.52455,50,4600,95.55562357208622
92,8.329647,51,4692,96.42622696833953
92,-4.722222,52,4784,98.21900919635607
92,11.174712,53,4876,98.014583974697
92,8.368926,54,4968,101.33978754874278
92,25.670366,55,5060,99.58094636435942
92,9.429188,56,5152,90.38870218429153
92,2.0014868,57,5244,99.86396743698783
92,6.5108957,58,5336,89.78486773648932
92,5.697797,59,5428,91.33195754870493
92,23.731987,60,5520,100.16071565771195
92,7.661504,61,5612,104.82025778316475
92,14.282811,62,5704,100.79914695466525
92,6.5298395,63,5796,99.80905202136911
92,12.638256,64,5888,99.43949841644526
92,3.0494092,65,5980,101.97449289701706
92,2.2342882,66,6072,100.96187098001386
92,6.052968,67,6164,93.60007936733176
92,-2.852534,68,6256,92.51461661343768
92,-5.0796824,69,6348,96.70347374797039
92,-4.0187907,70,6440,97.65624783303006
92,2.1788318,71,6532,93.34153712776565
92,2.3146315,72,6624,98.21600926479759
92,2.381585,73,6716,100.88281700981335
92,12.591865,74,6808,97.98969406215052
92,14.666722,75,6900,97.75126870505575
92,15.781069,76,6992,99.87924393510939
92,-1.5105684,77,7084,99.27415703685104
92,23.03865,78,7176,102.47891947188864
92,16.204914,79,7268,102.00619424204069
92,0.39953053,80,7360,96.02948903605424
92,-1.298126,81,7452,94.3813704666482
92,13.95241,82,7544,93.78359260922738
92,19.562477,83,7636,93.62287985803567
92,11.25722,84,7728,93.94982148665679
92,-6.821184,85,7820,102.65995171835101
92,-3.1203055,86,7912,101.98651336637772
92,25.293938,87,8004,101.18990586838356
92,-6.339366,88,8096,96.27660726952368
92,3.6710148,89,8188,100.92851859407939
92,12.325041,90,8280,101.43635569760042
92,-0.4404378,91,8372,97.91114980323937
92,1.9055204,92,8464,102.08591200752187
92,-4.7795224,93,8556,98.76644772372543
92,-1.5073904,94,8648,90.99223747081005
92,-15.615814,95,8740,98.77061904290198
92,11.870242,96,8832,94.54407464032302
92,-12.185495,97,8924,97.7331953146944
92,-6.154919,98,9016,98.80207960732753
92,5.1626186,99,9108,99.25824802783005
92,10.459489,100,9200,98.7121768631261
92,2.7133336,101,9292,102.97698285068928
92,1.0623951,102,9384,98.23373651811379
92,5.464015,103,9476,101.6476340099025
92,18.779003,104,9568,102.75711062775483
92,11.677591,105,9660,94.37116811831395
92,-3.1734574,106,9752,96.05396682285017
92,4.7613373,107,9844,91.36476249601631
92,-1.8638122,108,9936,96.59197773565192
92,6.3873816,109,10028,98.69147466368894
92,17.344006,110,10120,96.43393826344123
92,7.04257,111,10212,104.42274170742763
92,10.737214,112,10304,102.19911767985344
92,2.3215752,113,10396,103.1173820930685
92,3.0690243,114,10488,101.22961849875966
92,-4.27628,115,10580,95.2676432023081
92,1.2614075,116,10672,100.1825330909833
92,2.3346958,117,10764,102.3568660030961
92,1.2543437,118,10856,101.77707349084135
92,6.4691763,119,10948,100.20495851973075
92,3.5804715,120,11040,94.93979669463944
92,4.5005794,121,11132,100.31452420683809
92,4.6735826,122,11224,96.29450635448568
92,6.4731812,123,11316,93.41316706577723
92,-8.616698,124,11408,98.56162784193296
92,4.046826,125,11500,97.50976244950479
92,-0.119280994,126,11592,99.30087930112944
92,-0.060441006,127,11684,101.71223213869152
92,3.2030764,128,11776,101.1563761584293
92,10.800493,129,11868,101.95107998519384
92,3.2340546,130,11960,98.61525439668955
92,4.512039,131,12052,93.38156403896183
92,0.2319433,132,12144,94.37197591616096
92,-6.581385,133,12236,94.48518113685068
92,5.4361696,134,12328,97.80456219910995
92,-0.41099584,135,12420,99.80143682672187
92,9.085243,136,12512,95.9564168105025
92,0.6135238,137,12604,101.25023037895501
92,13.680467,138,12696,97.51057559081721
