,RL1
pnl_quantile_1,-13.4506669616523
pnl_quantile_5,-8.33652330332761
pnl_quantile_10,-5.464758577363591
pnl_quantile_50,1.5957695036689283
pnl_quantile_90,6.466080877940393
pnl_quantile_95,7.780520724395187
pnl_quantile_99,10.593715492144945
pnl_95VaR,-8.490465321855506
pnl_95CVaR,-13.14934275550052
pnl_99VaR,-14.954841106778408
pnl_99CVaR,-22.424613144263144
pnl_mean,0.8561565152802336
pnl_std,5.252725023214723
objective value,-5.252725023214723
