episode_length,episode_return,episodes,steps,steps_per_second
92,-41.605476,73,6716,156.13014595982523
92,62.902233,74,6808,153.84368763042045
92,-43.554325,75,6900,156.41531968434484
92,58.657833,76,6992,150.06927106282808
92,55.368958,77,7084,156.81425273903574
92,55.099487,78,7176,152.45729448294637
92,60.83315,79,7268,155.26539723900893
92,-62.952873,80,7360,150.98552381623148
92,35.10627,81,7452,160.13916167177604
92,-34.4676,82,7544,140.09148372982406
92,-169.24739,83,7636,156.5681436410467
92,28.6786,84,7728,144.3147941413296
92,58.347435,85,7820,149.60056913011874
92,63.3881,86,7912,154.7925986959546
92,-22.855915,87,8004,141.4017742465645
92,57.68237,88,8096,154.6249392421183
92,52.504486,89,8188,154.3056385648162
92,-91.34981,90,8280,149.0079169488816
92,65.94578,91,8372,155.52002218283266
92,-36.09708,92,8464,152.6844774039411
92,-137.14305,93,8556,153.1024187641695
92,-13.569548,94,8648,152.55065558566258
92,60.00153,95,8740,154.3778664602299
92,57.478626,96,8832,152.0357343657225
92,57.147472,97,8924,158.12443803729903
92,56.10483,98,9016,151.6166182791326
92,-172.96323,99,9108,157.4389617765476
92,60.639458,100,9200,150.77090499044095
92,-72.63951,101,9292,151.3584543609561
92,59.71856,102,9384,124.45102777665794
92,-115.54558,103,9476,154.69510978263963
92,3.6172695,104,9568,152.77134260285686
92,54.382416,105,9660,157.24443966311165
92,62.870087,106,9752,152.37728422206533
92,56.547623,107,9844,156.2106055754345
92,-194.14493,108,9936,156.4004847541575
92,61.45623,109,10028,149.41641801100772
92,54.080975,110,10120,156.69905532076982
92,56.003513,111,10212,156.40073831906764
92,-142.21786,112,10304,154.1115759019823
92,-1.3890352,113,10396,156.79284339730586
92,57.37025,114,10488,152.95440295510932
92,61.02903,115,10580,151.86926858526874
92,0.44062614,116,10672,153.9230966836063
92,-83.78088,117,10764,153.6345729974901
92,-12.171974,118,10856,149.17410541185095
92,-289.03958,119,10948,158.6605599722049
92,-44.76131,120,11040,152.1594133749317
92,-70.9912,121,11132,154.4479983349477
92,57.90996,122,11224,154.2373004113384
92,-164.2672,123,11316,159.31410490366244
92,-62.845963,124,11408,150.6126628681341
92,55.960827,125,11500,158.48175292802904
92,56.94354,126,11592,153.47600371165396
92,57.220493,127,11684,154.85869538172096
92,-263.33353,128,11776,156.06460077491164
92,-45.980686,129,11868,155.13998768130276
92,64.48935,130,11960,154.07176382230375
92,28.313936,131,12052,154.92714999399766
92,-3.2096863,132,12144,153.8763863793969
92,59.82749,133,12236,147.05599794512744
92,-15.935044,134,12328,153.20155934677044
92,58.393246,135,12420,151.36272910777902
92,-140.84006,136,12512,156.74539412405795
92,-35.0832,137,12604,155.50798866764194
92,-112.579575,138,12696,152.57985061348117
92,53.70773,139,12788,157.26706213434355
92,58.4046,140,12880,153.51520308911398
92,60.765827,141,12972,155.9610909630298
92,12.996292,142,13064,151.16859070288567
92,1.120635,143,13156,159.8261592777843
92,-66.176445,144,13248,149.8933969769292
92,59.23468,145,13340,161.22764931825998
92,59.59311,146,13432,153.7302394142031
92,62.133076,147,13524,155.5369474648196
92,58.759144,148,13616,154.52611429717876
92,68.72869,149,13708,157.79098813815483
92,-17.327356,150,13800,150.28476354867053
92,-41.67073,151,13892,153.00783525037906
92,51.151752,152,13984,155.79189847823946
92,-15.488277,153,14076,156.23419664952127
92,59.38116,154,14168,155.70483239604673
92,26.25774,155,14260,153.55955548923046
92,62.04092,156,14352,151.7195102052371
92,55.138077,157,14444,159.94301877157437
92,-4.318016,158,14536,157.24405520143895
92,25.371801,159,14628,152.6413535491226
92,52.43745,160,14720,155.83040202628484
92,-100.17411,161,14812,156.63958068800682
92,-103.70941,162,14904,151.21147883769558
92,-61.06524,163,14996,158.78924527820504
92,53.240868,164,15088,156.09976605826174
92,-83.88608,165,15180,153.65745354748228
92,58.410763,166,15272,155.34077786334555
92,-144.59451,167,15364,158.09968972181488
92,55.764053,168,15456,147.74534299423684
92,-2.61903,169,15548,162.39122098533295
92,59.462147,170,15640,154.76373017053947
92,64.7524,171,15732,153.4399970097418
92,59.611137,172,15824,154.66844739522352
92,54.765156,173,15916,157.88079114699622
92,-134.81471,174,16008,153.92254409642956
92,62.782238,175,16100,157.57114132875986
92,58.05991,176,16192,156.2650718726411
92,55.087315,177,16284,152.67771126644928
92,57.24762,178,16376,156.01752809824663
92,-54.69404,179,16468,158.072747486921
92,-69.070724,180,16560,152.82301288007142
92,57.70172,181,16652,158.40622005837463
92,52.851044,182,16744,155.19420915401219
92,-142.2196,183,16836,153.90885348113332
92,-29.408607,184,16928,149.64181762338947
92,61.928852,185,17020,155.3103292832338
92,54.43825,186,17112,152.50917443883483
92,0.27324486,187,17204,154.3875019554701
92,60.987503,188,17296,142.48776759200246
92,-101.036865,189,17388,148.47779351105092
92,-10.208113,190,17480,144.62119853803185
92,-122.906006,191,17572,147.85845474268575
92,58.27304,192,17664,146.43248962120234
92,25.475393,193,17756,152.403764398096
92,-96.934296,194,17848,155.36529545603702
92,56.106804,195,17940,157.65644280563416
92,58.38258,196,18032,153.25839051589614
92,49.969055,197,18124,156.025792156173
92,8.879977,198,18216,156.1552925332159
92,59.419502,199,18308,152.0550852767307
92,63.112972,200,18400,154.24451376575118
92,55.389378,201,18492,150.87153108757036
92,-1.6191807,202,18584,150.32884993799863
92,-73.30036,203,18676,157.42907009477338
92,-215.80164,204,18768,153.0797639274962
92,57.26392,205,18860,155.64246871831193
92,-14.576704,206,18952,153.11693839109668
92,-201.30078,207,19044,161.15028460937728
92,58.54677,208,19136,149.21552293843345
92,-101.508865,209,19228,157.27840786351345
92,57.4277,210,19320,155.1368067005263
92,55.662647,211,19412,154.44150768953682
92,52.08993,212,19504,154.87864729017733
92,56.320553,213,19596,156.95164091588347
92,55.098347,214,19688,153.68474782024097
92,59.62856,215,19780,156.1981488212964
92,57.75344,216,19872,156.58008764810907
92,56.19272,217,19964,149.8061087740058
92,-153.54568,218,20056,150.64876623508448
92,-204.8051,219,20148,156.65732293757878
92,1.5192719,220,20240,152.3040302495668
92,57.509422,221,20332,156.92936437412436
92,54.798767,222,20424,154.3438430210559
92,-43.58683,223,20516,154.95066608039545
92,58.964382,224,20608,155.22898324516765
92,60.991096,225,20700,158.58961446637787
92,61.483303,226,20792,146.91345196537057
92,-240.8728,227,20884,155.54585038774002
92,59.262005,228,20976,147.8882050374036
92,-32.01867,229,21068,157.73732299944407
92,58.85938,230,21160,154.66181422913178
92,54.96673,231,21252,156.2610852459534
92,-172.57909,232,21344,152.4822358393901
92,63.046513,233,21436,158.16105642918214
92,63.42925,234,21528,140.38311004880427
92,59.96311,235,21620,118.56613246619088
92,-20.28125,236,21712,148.1850589128937
92,2.5054522,237,21804,145.975150523788
92,64.44076,238,21896,125.8112192515217
92,58.028687,239,21988,129.20515232190326
92,58.269165,240,22080,123.04341703825393
92,58.54239,241,22172,136.98545357469456
92,59.024803,242,22264,140.66405589001346
92,56.628605,243,22356,139.2218704878156
92,58.00936,244,22448,143.06942061247463
92,-123.84655,245,22540,139.22453275335735
92,10.437569,246,22632,143.5623111883637
92,58.7005,247,22724,156.47049988524512
92,58.003464,248,22816,153.58913799643446
92,-101.63255,249,22908,151.3703886330587
92,55.03058,250,23000,152.46669171717267
92,57.77465,251,23092,155.004257158397
92,-166.11693,252,23184,155.6686516092881
92,60.146736,253,23276,157.65032377730657
92,9.359875,254,23368,149.5712275101061
92,-187.79985,255,23460,160.15112500824878
92,57.666885,256,23552,147.65127181617402
92,57.419945,257,23644,142.93534208457825
92,66.09515,258,23736,150.92204209184172
92,-22.098473,259,23828,148.60605005628435
92,59.376446,260,23920,154.96074658866343
