,Greek-Delta-MI
pnl_quantile_1,-14.280578352986485
pnl_quantile_5,-10.374146238335925
pnl_quantile_10,-6.178430960836704
pnl_quantile_50,-1.2677836421935353
pnl_quantile_90,3.9282499861597926
pnl_quantile_95,5.259205264868797
pnl_quantile_99,7.846193124716671
pnl_95VaR,-10.520523956744
pnl_95CVaR,-14.612400530105406
pnl_99VaR,-17.71640560682863
pnl_99CVaR,-23.972360139130615
pnl_mean,-1.4357449362901817
pnl_std,4.757471141398546
objective value,-8.571951648388
